target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,,220000,0,0,0,4.1764336918,36.667939217,6.304109589,1,1,0.7471741897,918
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,924
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,925
0,2NDFL,beginner,,68952,0,0,0,1.2515456989,27.029493226,1.5856576091,,,5.8459315817,931
0,OTHER,elementary,Corporate,44843,0,1,0,,25.836177858,1.0526162138,0,0,2.5348079946,934
0,OTHER,elementary,Corporate,40551,0,1,0,,28.257100082,0.6434014522,0,0,0.818743918,936
0,OTHER,elementary,Corporate,62000,0,0,0,7.5047267025,39.975409836,9.5546298376,0,0,10.606684632,940
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,20185,0,1,1,0.9853046595,30.639389176,0.5,0,0,10.094183696,947
0,OTHER,elementary,Corporate,109242,0,1,0,12.533198925,43.397260274,16.799086758,1,1,10.567123288,948
0,OTHER,elementary,,102000,0,0,1,1.2791442652,53.249876488,3.7265888165,0,0,8.2076502732,949
0,2NDFL,advanced,,84738,0,0,0,0.4100358423,35.210958904,7.4082191781,1,1,9.3353469571,961
0,OTHER,elementary,Corporate,29215,0,1,0,,25.047922749,4.0904109589,,,4.8648626394,963
0,OTHER,elementary,,23800,0,0,0,6.4057123656,47.230863089,0.5765027322,0,0,2.2171644584,965
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,2NDFL,elementary,,200644,0,0,0,17.434386201,34.234972678,4.4870274721,0,0,9.1034658283,977
0,OTHER,elementary,,50000,0,0,0,2.3162410394,32.193989071,6.9544651546,0,0,9.2777528258,978
0,OTHER,elementary,Corporate,226200,0,1,1,1.3362455197,45.105097687,0.304109589,5,5,0.0602739726,981
0,2NDFL,elementary,,112129,0,0,0,2.508266129,29.424657534,1.8630136986,0,0,6.6383561644,996
0,OTHER,elementary,Corporate,102762,0,1,1,0.41265681,39.527322404,7.009955835,0,1,2.0291339172,998
0,OTHER,elementary,,50000,0,0,0,,36.451575717,0.9461112359,1,1,11.347945205,1000
0,2NDFL,advanced,,68174,0,0,1,1,30.307567932,5.0719514934,0,0,6.9815405345,1009
0,OTHER,high,Corporate,118591,0,1,0,1.2726702509,27.695890411,4.4650647504,0,0,7.2657534247,1012
0,OTHER,beginner,Corporate,50000,0,1,0,-0.816666667,44.416438356,2.9671232877,1,1,11.419178082,1014
0,2NDFL,elementary,,31742,0,0,,,45.775342466,1.4794520548,,,0.7414252564,1015
0,OTHER,elementary,,100000,0,0,,,55.819178082,8.4849315068,,,10.150684932,1017
0,OTHER,elementary,Corporate,110252,0,1,0,20.410819892,27.975409836,3.1243281683,0,1,7.956284153,1018
0,2NDFL,beginner,,134724,0,0,3,0.281765233,36.423654465,7.3589041096,1,1,11.183561644,1028
0,OTHER,elementary,Corporate,67184,0,1,0,0.66234319,28.710472341,3.7732240437,0,0,8.2213114754,1036
0,OTHER,elementary,,121000,0,0,1,1.6691980287,39.50273224,3.1003667939,1,1,9.6702298076,1044
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,2NDFL,high,,37333,0,0,,,55.02739726,1.9917808219,,,9.5397260274,1058
0,2NDFL,advanced,,52076,0,0,0,7.5730062724,38.679017891,6.8297028221,0,0,8.6571000823,1061
0,OTHER,elementary,,74000,0,0,0,0.7992607527,39.030136986,0.5798188487,0,0,5.402739726,1062
0,2NDFL,elementary,Corporate,69439,0,0,0,28.702889785,27.62795868,0.5136612022,1,1,7.5320682686,1066
0,OTHER,beginner,,100000,0,0,1,0.8536290323,33.188030541,8.2841530055,1,1,10.070222322,1067
0,OTHER,elementary,,100000,0,0,1,0.4983198925,36.407103825,1.094355865,0,0,3.4423010704,1069
0,OTHER,advanced,Corporate,34853,0,1,1,0.3396281362,29.380582379,0.3696234748,0,0,4.1066097762,1092
0,OTHER,elementary,,150000,0,0,1,0.9859767025,44.409836066,11.81147541,0,0,8.2732240437,1095
0,2NDFL,elementary,,47850,0,0,,,40.17260274,6.7753424658,,,15.019178082,1101
0,OTHER,advanced,,70000,0,0,0,20.537051971,40.475409836,11.214260049,0,0,11.389602515,1109
0,2NDFL,advanced,,39977,0,0,0,53.118055556,32.128415301,1.0361778576,0,0,11.603301145,1111
0,OTHER,elementary,Corporate,75869,0,0,,,49.707710158,14.594520548,,,4.6054794521,1121
0,OTHER,advanced,Corporate,39021,0,1,,,30.870424433,0.9252189535,,,2.3800134741,1122
0,OTHER,elementary,,117000,0,0,1,0.7981630824,45.963223295,3.0015794595,0,0,0.8317164458,1145
0,OTHER,advanced,,20000,0,0,1,0.9562275986,27.732240437,4.894355865,0,0,7.5710382514,1158
0,OTHER,elementary,Corporate,117993,0,1,1,0.7321012545,28.807785014,4.9283329591,0,0,6.6516206303,1159
0,2NDFL,elementary,,183527,0,0,1,0.5074148746,38.109154877,5.8571000823,0,0,0.3064151508,1161
