Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
20;1069480;2НДФЛ;Ремонт;0;0.29;женский;1;0;высшее;менеджер среднего звена;>250;1;48;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069500;Форма банка (без печати работодателя);Ремонт;1;0.37;мужской;0;0;второе высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069520;2НДФЛ;Покупка недвижимости/ строительство;1;0.43;мужской;1;0;высшее;специалист;>250;1;48;38;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069540;2НДФЛ;Ремонт;1;0.56;мужской;0;0;среднее-специальное;рабочий;>250;0;190;49;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069560;2НДФЛ;Покупка недвижимости/ строительство;0;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;249;52;Другое;ООО;женат / замужем;2;2;0;0;0;0;0;2;1;1;0.4;2;3;15;5;1;0;1;24;0;0;0;0;0;0;0
20;1069580;Поступление зарплаты на счет;Покупка автомобиля;0;0.23;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;6;23;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069600;Поступление зарплаты на счет;Отпуск;1;0.48;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069620;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;женский;0;0;высшее;менеджер среднего звена;< 50;0;61;40;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0.5;2;2;54;4;1;0;28;77;0;0;0;0;0;0;0
20;1069640;Форма банка (без печати работодателя);Ремонт;1;0.43;женский;1;0;высшее;менеджер среднего звена;< 50;0;16;36;Торговля;ООО;разведен / разведена;1;1;0;0;0;0.0867768595;1;0;0;0;0.4;4;6;221;10;1;1;12;102;1;1;1;1;0;0;0
20;1069660;Форма банка (без печати работодателя);Другое;0;0.47;мужской;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1069680;2НДФЛ;Ремонт;1;0.48;мужской;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;62;34;Торговля;ООО;женат / замужем;1;1;0;0;0;0.0479452055;0;2;0;0;0.3076923077;4;9;139;13;3;2;4;91;1;0;0;0;0;0;0
